Composite.Element.REF	TCGA-2L-AAQJ-01	TCGA-2L-AAQI-01	TCGA-2L-AAQL-01	TCGA-2L-AAQM-01	TCGA-2L-AAQA-01	TCGA-3A-A9IU-01	TCGA-3A-A9I5-01	TCGA-3A-A9IX-01	TCGA-3A-A9IH-01	TCGA-3A-A9IN-01	TCGA-3A-A9IZ-01	TCGA-3A-A9IB-01	TCGA-3E-AAAZ-01	TCGA-IB-AAUM-01	TCGA-IB-AAUN-01	TCGA-IB-AAUO-01	TCGA-IB-AAUU-01	TCGA-IB-AAUP-01	TCGA-IB-AAUW-01	TCGA-IB-AAUS-01	TCGA-IB-AAUV-01	TCGA-Q3-AA2A-01	TCGA-F2-A8YN-01	TCGA-XN-A8T5-01	TCGA-S4-A8RM-01	TCGA-S4-A8RO-01	TCGA-S4-A8RP-01	TCGA-YH-A8SY-01	TCGA-RB-A7B8-01	TCGA-US-A77G-01	TCGA-US-A77J-01	TCGA-US-A77E-01	TCGA-US-A776-01	TCGA-US-A779-01	TCGA-US-A774-01	TCGA-OE-A75W-01	TCGA-H8-A6C1-01	TCGA-L1-A7W4-01	TCGA-LB-A8F3-01	TCGA-YB-A89D-01	TCGA-IB-A7LX-01	TCGA-IB-A7M4-01	TCGA-YY-A8LH-01	TCGA-LB-A7SX-01	TCGA-FB-A78T-01	TCGA-IB-A5SO-01	TCGA-IB-A5SP-01	TCGA-IB-A5SQ-01	TCGA-IB-A5ST-01	TCGA-IB-A5SS-01	TCGA-HZ-7924-01	TCGA-M8-A5N4-01	TCGA-HZ-7920-01	TCGA-FB-A5VM-01	TCGA-HZ-7923-01	TCGA-FB-A545-01	TCGA-HZ-7919-01	TCGA-HZ-A4BH-01	TCGA-HZ-7918-01	TCGA-HZ-A4BK-01	TCGA-FB-A4P6-01	TCGA-HZ-7925-01	TCGA-FB-A4P5-01	TCGA-Q3-A5QY-01	TCGA-HZ-7922-01	TCGA-H6-A45N-01	TCGA-FZ-5924-01	TCGA-F2-A44G-01	TCGA-PZ-A5RE-01	TCGA-HV-A5A6-01	TCGA-IB-A6UF-01	TCGA-LB-A9Q5-01	TCGA-XD-AAUL-01	TCGA-RB-AA9M-01	TCGA-HZ-8638-01	TCGA-HZ-8315-01	TCGA-HZ-8519-01	TCGA-IB-8126-01	TCGA-FZ-5923-01	TCGA-IB-8127-01	TCGA-FZ-5922-01	TCGA-F2-6879-01	TCGA-FZ-5921-01	TCGA-F2-6880-01	TCGA-FZ-5926-01	TCGA-FZ-5920-01	TCGA-FZ-5919-01	TCGA-HZ-8003-01	TCGA-IB-7893-01	TCGA-IB-7891-01	TCGA-IB-7889-01	TCGA-IB-7887-01	TCGA-IB-7888-01	TCGA-IB-7886-01	TCGA-IB-7885-01	TCGA-HZ-8005-01	TCGA-HZ-8002-01	TCGA-HZ-8001-01	TCGA-IB-7652-01	TCGA-IB-7651-01	TCGA-IB-7649-01	TCGA-IB-7647-01	TCGA-IB-7646-01	TCGA-IB-7644-01	TCGA-IB-7890-01	TCGA-Z5-AAPL-01	TCGA-FB-AAQ1-01	TCGA-FB-AAPQ-01	TCGA-FB-AAPZ-01	TCGA-FB-AAQ6-01	TCGA-FB-AAPP-01	TCGA-2J-AABH-01	TCGA-2J-AABK-01	TCGA-2J-AABF-01	TCGA-2J-AAB9-01	TCGA-2J-AABA-01	TCGA-2J-AAB8-01	TCGA-2J-AAB4-01	TCGA-2J-AABO-01	TCGA-2J-AABR-01	TCGA-XD-AAUH-01	TCGA-XD-AAUI-01
YWHAE|14-3-3_epsilon	-0.594488114	-0.836006628	-0.735536245	-0.425657758	-0.873361135	-0.740843824	-0.690622378	-0.66241259	-0.863831459	-0.594517101	-0.607494525	-0.747202966	-0.843352548	-0.806616196	-0.966826285	-0.844714907	-0.873942838	-0.833315573	-0.715822187	-0.644253335	-0.749743882	-0.619159706	-0.784703195	-0.782132738	-0.844511617	-0.856910838	-0.751107296	-0.649751784	-0.563856769	-0.609491273	-0.779883084	-0.760657664	-0.971009333	-0.667583167	-0.698551778	-0.543719399	-0.606520692	-0.75357333	-0.847878727	-0.777068332	-0.813973236	-0.784194947	-0.850773072	-0.847310482	-0.664852807	-0.667942329	-0.68392888	-0.677421459	-0.709679151	-0.701124567	-0.71312366	-0.656862486	-0.652632273	-0.839668071	-0.776589672	-0.718844943	-1.029638719	-0.769632595	-0.823589122	-0.677890633	-0.609843731	-0.561849153	-0.94872112	-0.736512416	-0.847291172	-0.664736767	-0.622440338	-0.543234567	-0.795542514	-0.63497401	-0.652755148	-0.521237738	-0.56509867	-0.748992285	-0.592354871	-0.714841226	-0.76192855	-0.532803122	-0.83859119	-0.74940925	-0.819682008	-0.822106805	-0.467281375	-0.710997891	-0.536413046	-0.640976339	-0.536967749	-0.518796597	-0.626995025	-0.653639028	-0.931953663	-0.727465124	-0.711974722	-0.669556518	-0.701768676	-0.633620011	-0.674163475	-0.358501379	-0.738839877	-0.614671257	-0.555124334	-0.819442344	-0.56551519	-0.573596128	-0.791909805	-1.041308228	-0.771909664	-0.810813476	-0.823517496	-0.726019149	-0.718006946	-0.481062818	-0.69065298	-0.559496441	-0.583858314	-0.690977479	-0.802501171	-0.737403967	-0.919029858	-0.418550136	-0.934296907	-0.650911663
EIF4EBP1|4E-BP1	0.187871652	0.243477492	-0.059678125	0.474410738	0.236735813	-0.085045302	0.044015301	-0.029809364	0.036099966	-0.391924727	0.203652514	-0.043574316	0.066644886	0.753930173	0.356339968	-0.006564982	0.280197925	-0.078520159	-0.444952433	0.03033069	-0.433836116	-0.241462872	0.007432876	-0.188488159	0.264991447	0.537932597	0.044746682	0.691080997	0.185634485	0.371604019	-0.227429215	0.047872228	-0.116863349	0.012217418	0.151090688	0.736874192	0.736195896	-0.248607075	-0.017600852	0.207189293	0.061907727	0.755921097	0.185772273	-0.014539235	1.617447609	-0.115423625	0.348311397	0.190116167	0.026312006	0.081345345	0.161510273	0.409227029	-0.296816485	0.549252856	-0.253357838	0.234717899	0.07652217	-0.406057027	0.61362755	0.884783972	0.103193346	0.500385693	0.001536817	-0.386290999	-0.188488159	0.180040094	0.129064116	1.422445289	0.037472304	-0.035300504	1.210219185	0.36147672	-0.134257223	0.052140665	0.322762221	-0.055285406	0.826786521	1.976627496	0.237099801	0.342906057	-0.364012063	0.277581661	-0.018105055	1.77107179	0.99898444	0.69895777	0.125625132	1.542302237	0.582696797	1.136110887	0.178585359	0.154579475	0.151911798	0.74107155	0.62460148	0.345901099	0.140612952	0.020143774	0.112571873	0.989313489	0.459620954	-0.157903845	0.883944254	1.469714629	0.084607173	0.284486912	0.801340783	0.319623085	0.364487345	0.269860598	0.867681932	0.249297454	0.357134983	0.765297988	0.762993277	-0.122767026	0.08342586	0.465127294	0.08966266	0.188900979	-0.03323271	0.794259204
EIF4EBP1|4E-BP1_pS65	-0.044408634	0.002263992	-0.081081978	1.019041231	-0.093581758	-0.20348577	0.204724994	-0.030585435	0.042212187	0.516358689	-0.092752569	0.146052729	0.056966818	-0.037671344	-0.065286499	0.112671535	-0.244900359	-0.032560746	-0.125586679	-0.227413605	-0.013768145	0.015312714	-0.288560599	-0.223044922	0.035951211	0.123602338	0.063412801	0.001933694	-0.455884412	-0.205947733	0.023808001	-0.183967479	0.14524234	-0.092376337	-0.013499186	0.002567554	-0.157961772	-0.130023265	0.648175812	-0.20017186	-0.144958442	-0.150225852	-0.111750181	-0.03489287	-0.104845371	-0.374117611	-0.228362084	0.096532474	-0.012119912	-0.027852468	0.632680545	-0.008830677	0.066859777	-0.151101574	-0.099024469	-0.121416737	-0.065340369	-0.45686027	0.169712323	-0.232534308	-0.02371962	-0.055545936	-0.194354434	0.220534701	-0.017123601	-0.131139832	-0.008161944	0.243938618	-0.168801747	-0.02852878	-0.05265189	-0.019746691	-0.015336477	0.167110295	0.291347894	0.083043695	-0.175967881	0.092489444	-0.257082112	-0.049441306	-0.089076779	-0.367026219	-0.088896745	-0.033393167	-0.089070879	0.03914165	-0.135070282	-0.064108074	-0.059420904	-0.039165563	-0.35616024	0.085150904	-0.104017001	-0.051700789	-0.111664239	0.017755622	-0.159705459	-0.253520319	-0.208305563	-0.126970341	0.008063389	-0.215598196	-0.011307892	0.167226721	0.075488779	-0.139810319	0.039471179	-0.068627086	0.061142485	-0.21943941	0.551345451	0.504260525	0.201461768	0.458163428	0.012986678	-0.088234565	-0.099189933	-0.107117412	0.03684107	0.16894436	0.037091274	0.433899763
EIF4EBP1|4E-BP1_pT37T46	0.402563451	0.446879138	0.127973936	2.59930032	0.802220354	0.645786014	0.74830556	0.356730928	0.346590258	0.830683173	-0.433279444	0.519292797	-0.840815168	1.241021172	0.396810449	0.333619906	-0.359715641	0.150713688	0.839767903	0.186458431	0.630642381	0.60694442	-0.939576898	0.543313812	0.040861617	0.09315596	0.334479954	0.273438059	-0.367369186	1.148798379	0.936427104	-0.576981335	0.644198521	0.068786474	0.437077151	-0.497464809	0.386388287	0.727301366	0.076061712	-0.190458381	-0.259270832	0.008864732	0.292313699	0.664659166	0.986143987	-0.499748217	0.208169895	0.665960372	-0.273236415	0.769843168	0.039546255	0.172588808	0.847443811	0.339812893	0.861122263	0.602038459	0.591224953	0.987532784	0.977240353	0.983077958	0.008827277	-0.300097408	0.130256797	0.920727826	0.539232052	0.270532474	0.27800629	1.30934866	-0.314048498	0.018202611	0.810604187	0.088019084	0.499946108	0.920227424	0.513999544	0.435387082	1.304731897	1.452900265	0.379632921	0.567086357	0.9496699	-0.142030313	0.243977065	2.246067769	0.982080669	0.446064675	0.429081059	1.258975266	-0.695720501	0.875554312	0.399935671	0.580964571	0.415619937	0.091519818	0.408443668	0.635542969	0.460004465	0.501341734	0.299442103	0.43909337	0.530953193	0.045534371	0.333720579	1.0456487	0.442366274	-0.38414497	0.757469064	0.87991092	0.843135451	-0.431303752	-0.161670439	1.080066879	0.755789412	0.528802866	-0.017525855	0.392347362	-0.678050057	0.604102114	0.833550684	1.16399018	0.234363197	0.582318028
TP53BP1|53BP1	0.299625495	1.096110146	1.154008894	3.570511969	1.627921243	1.428619423	1.729810135	1.563355871	1.471003111	2.839783086	0.390098543	1.309694649	1.324350607	1.261772934	1.527298589	1.540520142	1.387142048	1.089007836	0.842564245	1.321068633	1.311683454	0.90673376	1.693525391	1.476033154	1.475003802	1.525332229	1.44961463	0.378722204	1.260128703	-0.040530346	1.037675006	1.025971525	1.085574049	0.997500106	1.453818976	1.653613295	0.545693305	1.315098233	1.513303587	1.146806717	0.401792084	0.595295514	1.311995576	1.773480983	1.246957617	1.136941409	1.660078094	1.920034079	0.498607729	1.253505491	0.190646453	0.22679468	1.478611832	1.752929245	1.158301659	0.997485063	1.542182813	-0.232091731	1.521147734	0.655744375	1.625828904	0.40625385	1.406346574	1.283774442	1.171239851	1.43627801	1.374031572	0.487865262	0.837373034	0.955641863	1.203817524	0.956653262	0.810879762	1.379383777	1.172925244	1.638131616	1.241652481	0.360635658	1.131131268	1.563247343	0.460994233	1.694800727	0.946116998	0.943972411	1.436451403	1.474122636	1.046307983	0.874859409	1.552582612	1.087244733	0.861837432	0.579519693	0.920318933	1.21183011	0.377570292	0.970424806	1.479761142	-0.79456159	1.581292329	1.226653151	0.751272989	1.252820944	0.36525692	0.490336117	1.476967446	0.786923578	1.588108946	1.360784931	0.979318051	0.821620657	1.468673607	0.535408545	1.082109232	0.852036308	0.997054056	0.748663883	1.089366633	1.339628547	1.580072114	-0.723610828	1.665910561	0.863075234
ACACA ACACB|ACC_pS79	-0.082063268	0.147029301	-0.28386599	-0.249965231	0.591617575	0.041956174	0.050304084	-0.496554166	0.353792456	0.145906334	-0.995437678	-0.974085163	-0.227414098	-0.486983072	-0.371204331	-0.410444534	0.047292995	-0.839943487	-1.006149986	-0.613287624	-0.743185871	-0.844692711	-1.417493193	0.052431271	0.019189046	0.611108287	-0.237741066	0.231101446	-0.364220853	-0.438485865	-0.9669839	-0.806852553	-0.003842437	-0.350092415	0.074164513	-1.168991952	-0.399882986	-0.644457913	-0.207181632	-0.590426486	-1.148649474	-0.018984563	-0.637344835	-0.097293138	-0.288688907	-0.462401933	-0.122972677	-0.605597951	-0.276152879	-0.540676954	-0.429700131	0.08933607	-0.398671888	0.322433963	-0.211496704	-0.500584321	-0.010275798	-0.422909572	-0.227815679	-0.226144429	-0.179783451	-0.401002675	-0.320528376	-0.649143262	-0.224873261	-0.468929181	-1.00242985	0.27357932	-0.504753269	-0.241650585	-0.402822464	0.339399716	-0.687692348	-0.278011171	-0.103410611	-0.429900744	0.110065371	-0.201502718	-0.329531587	-0.444428946	0.994996877	-0.717576181	-0.447882934	-0.258519555	-0.035143827	-0.192174588	-0.707521097	-0.17941451	0.025309605	-0.412845589	-0.611851586	-1.069631049	-0.437395471	-0.560738764	-0.265660747	-0.70344501	-0.479734935	-0.277814769	-0.438074897	-0.698992273	-0.591982215	-0.428896211	-0.706356397	-0.246866582	-0.478794398	-1.328808943	0.304011588	-0.446133836	-1.387943364	-0.914127486	-0.382001994	-0.892708929	-0.615644144	-0.19558139	-1.082760846	-1.037126388	-0.458814488	-0.224444943	-0.351915588	-0.489496518	-0.394959074	-0.277928679
ACACA|ACC1	1.729091163	1.551291561	1.004553449	0.953489192	2.076916883	0.764480226	1.209736194	0.85170112	2.17803635	1.417316597	0.478049963	0.386849866	1.21763374	0.809777886	1.196722098	0.987249426	1.583985644	0.509080806	0.174460562	0.676681263	0.408037081	0.299177937	1.06714546	1.470193988	1.344622277	1.963145217	1.123579827	2.170770333	1.333393044	1.097342073	0.294665849	0.543985688	1.524601557	1.146977107	1.588798998	1.076777218	1.392925958	0.622556534	1.466355447	0.881443061	0.197252594	1.628712332	0.732136537	1.556278958	0.944552451	1.032870876	1.153340599	0.869045375	1.357801325	0.731762219	1.078911252	1.581668564	0.910386923	2.000179019	0.912094133	0.857824394	1.376346044	1.053893302	0.983278933	0.89763866	1.28112501	1.600412169	1.102247855	0.804343568	1.249421335	0.913716677	0.421588459	1.691686838	1.345945975	1.583858324	1.059693083	2.250836608	0.921246119	1.143576699	1.580794316	0.888853221	1.644970103	1.448688145	1.202579635	0.985816807	2.503171618	1.245185184	1.479422019	1.150811377	1.533532305	1.370349487	1.265401546	1.273190127	1.651714584	1.372547511	0.875981068	0.649918763	1.679193761	1.066266112	1.237350544	0.616955046	1.236082639	1.704026564	1.014507759	1.092507841	1.217728431	1.041017104	0.954061013	1.226037053	0.872128606	1.072218513	1.905312863	1.077373761	0.465698117	0.937563721	1.226496138	1.440915794	1.255320698	1.577633856	1.038240137	0.383735334	1.498690025	1.148943325	1.326164307	1.819014347	1.406189421	1.329680544
AKT1 AKT2 AKT3|Akt	0.595255617	0.849073487	0.829350474	1.639194151	1.128609876	1.147605967	1.424519363	1.106365141	1.167765309	1.570436262	0.182336499	0.902238955	1.075163592	1.100039171	1.18134753	1.193932138	1.111376161	1.154969213	0.487928789	0.854833211	1.173579182	1.012650611	1.095499022	1.001603698	1.00504386	1.130425004	1.038182598	0.282823607	0.811199396	0.005015757	0.979654921	1.405486032	0.907706344	1.093466167	1.286815644	0.619230902	0.758073487	0.830627153	1.036579971	1.27517393	0.570804736	0.716698351	0.84742679	1.028831755	1.112287225	0.984946103	0.938909356	1.359322581	0.392874067	1.132879376	0.995986437	0.693973112	0.920172118	1.075473609	0.940268228	0.97695657	1.348458541	-0.523470995	1.309387989	0.850688072	1.428116102	0.843527136	0.849641463	0.96779396	0.800858873	1.110261377	0.760125027	-0.975344487	0.903928198	0.847773418	1.048577631	0.913961074	0.51217886	0.982233813	0.452399881	1.25981056	1.09499219	-0.04775837	1.061263803	1.144210101	0.672506856	0.747989397	0.684945638	0.234238732	0.990237104	1.18790738	0.942225191	0.872807473	1.012143875	0.842778187	0.838365296	0.389490446	0.666570869	1.282236582	-0.275593449	0.509267817	0.979972654	0.251069042	1.164815897	0.964348384	0.792294642	0.851319957	0.253323833	-0.554567967	1.082237062	0.132047296	1.628953219	1.133740938	0.743417372	0.574012893	1.00751046	0.955975273	1.491477432	0.086130881	1.151058553	1.051023804	1.076750714	1.732297795	1.453031989	0.954182906	1.596403631	1.870660267
AKT1 AKT2 AKT3|Akt_pS473	-0.421367838	-0.596864962	-0.564396286	0.42068737	-0.894276708	0.14852273	-0.089670495	-0.801952386	-0.600701113	0.193011469	-1.67089972	-0.144443814	-1.070078211	0.724273678	-0.998007031	-0.928905893	-1.13285474	-0.654082008	0.168703822	-0.915319086	-0.140695777	-0.062110676	-2.077935091	-0.247511986	-0.647199633	-0.64892555	-0.418670463	-1.094729508	-1.645186357	-1.311503649	0.337123278	-0.743006367	-0.894504566	-0.754147363	-0.644840466	-1.757457867	-0.807597445	0.405125909	-0.378249372	-0.719981761	-1.478897973	-0.827310433	-0.401753124	-0.373843689	-0.770896977	-1.004014643	-0.995442235	-0.356139564	-1.095815063	-0.395388723	-0.92617888	-0.847923181	-0.19676306	-1.508942957	-0.066804471	-0.616007996	-0.546109518	0.530359154	-0.656812034	-0.361044369	-0.655596206	-1.782398838	-0.729906224	-0.293743103	-0.699530938	-0.484319426	-1.681386537	-1.498949868	-0.854502614	-1.353559151	-0.446914425	-0.759995618	-0.426633782	-0.479509405	-1.231952982	-0.239824901	0.226781672	-1.663610797	0.032358856	-0.789363145	1.642612137	-1.051641416	-0.818292823	-0.481172869	-1.037544428	-1.188781801	-0.58169681	-0.656848927	-1.817121776	-0.604426104	-0.971823147	-0.512983256	-0.707182014	-1.101397005	-1.148060751	-1.244976244	-0.398259486	-1.136338466	-0.490514108	-1.462452287	-1.069998127	-0.969106881	-1.274970327	-1.478645774	-0.978184319	-1.814810405	-0.684855079	-0.619898513	-0.237709199	-1.422422374	-1.762963064	-0.588060928	-1.016422101	-1.058324201	-1.240605846	-0.530477119	-1.071244665	-0.667344539	-0.665731023	-1.456787014	-0.615430944	-0.614285662
AKT1 AKT2 AKT3|Akt_pT308	0.207502459	0.041701323	-0.047203825	1.78285779	-0.346482898	0.532010985	0.422311138	-0.24110752	-0.08876442	0.541560067	-0.295739142	0.299770371	-0.525923133	0.844502334	-0.278952765	-0.234851642	-0.639648635	-0.138751977	0.563062041	-0.362323778	0.159513682	0.366487184	-0.625488864	-0.064487475	-0.215634217	-0.101944298	0.064411618	-0.0919434	-0.538430227	-0.156231043	0.704830116	-0.295353542	-0.250839129	-0.08973273	0.069490787	-0.399044254	-0.089141437	0.809209293	0.000581894	-0.265215628	-0.271873882	0.057942569	0.012619291	-0.060932751	-0.341216923	-0.413837212	-0.56939006	-0.1772862	-0.023536852	-0.008587909	-0.282811559	0.17954774	0.264729111	-0.893512555	0.396561974	0.065493927	-0.186042461	0.677943845	-0.158777546	0.01276429	-0.286217376	-0.517200009	-0.173322459	0.437318863	0.036330784	0.096855795	-0.20435581	0.110445643	0.153312194	-0.369354613	-0.023376887	-0.093244479	0.26463888	0.160957133	-0.333113245	0.076348557	0.697977526	-0.210324947	0.34774319	-0.1540116	1.776416334	0.118695614	-0.132951387	0.290153934	-0.303679292	-0.373200182	-0.145132925	-0.200047383	-0.564882145	-0.077123482	-0.22021768	0.099133111	0.030343665	-0.539391565	0.09853881	-0.01300407	0.169428161	0.3877598	-0.058682562	-0.434582771	-0.269772798	0.265718003	0.100862942	0.120587465	-0.334744343	0.153705877	-0.188354343	-0.233917564	0.097025126	-0.249164746	-0.763924901	0.322798976	-0.359016741	-0.218609423	-0.261474024	0.140035787	-0.28012642	-0.14521144	0.015792125	0.061706309	-0.248395303	-0.181106591
PRKAA1|AMPK_alpha	1.018657599	0.921093633	0.722872906	1.623612367	1.280810854	0.425544709	0.767866573	0.693207791	0.958863274	1.00302765	0.625741845	0.537121646	1.219088487	0.876331887	0.635440271	0.785635577	1.031877581	0.895934222	0.613948602	0.961721975	0.69869254	0.632392152	0.683479743	0.656123423	1.308220422	0.995774524	1.008743633	0.780165094	0.738564069	0.812415789	0.564964773	0.988602435	0.791745051	1.037263746	0.839522562	1.123039989	0.801978693	0.459320664	0.816271534	0.952075315	0.462931584	0.7209716	0.955215278	0.718912832	1.264955622	0.563620679	1.060081655	0.741834561	0.839111099	0.694341531	1.165028637	0.78527712	0.706732556	1.050811513	0.601856801	0.528340926	1.201312283	0.61518613	0.86306423	0.75632778	0.805624612	0.978671321	0.884124266	0.693045986	0.820746525	0.698187902	0.586266864	1.354720696	0.805794284	0.951297091	0.935111255	0.853056063	0.667592953	0.77140332	0.957484478	0.902751663	0.742095337	1.439985697	0.649083921	0.856378667	0.461569283	0.964267546	0.84047454	0.716271582	0.783355072	0.919645909	0.861940324	0.644465584	0.643312134	0.726663738	0.673696262	0.252787729	0.70419899	1.073397687	0.793229554	0.351777949	0.704685251	1.135172686	0.629756784	0.961518448	0.601241907	0.584309907	0.537167566	1.169232588	0.779905973	0.727250698	0.952012671	1.057297466	1.086939799	1.145358776	1.427780978	0.984265106	0.951421368	1.401301956	0.855378981	0.668742524	0.821778578	0.792649964	1.008770822	1.154002977	0.874590358	1.2129432
PRKAA1|AMPK_pT172	2.834412073	2.707334256	2.618810602	2.76028084	3.740701138	2.571294342	3.005773624	2.945805896	2.555907743	2.928636704	2.345772856	2.674400564	3.790303378	2.555830997	2.680183354	3.073224346	3.561735147	2.255929454	2.392976385	3.073423597	2.727056687	2.225232193	2.008586921	2.693171406	4.012187223	3.355708558	2.972798973	2.468725512	2.746130743	2.680854191	2.344220592	3.69200214	3.60925189	3.17947731	2.71764044	0.673423007	3.01385414	2.530909776	3.094993108	3.233691171	2.428296243	3.023819538	2.733560342	2.721436154	3.423947989	2.961601742	3.239414659	2.689822292	2.694890621	2.481768085	3.007951174	2.582983691	2.556036769	3.469383063	2.552025084	2.223743062	3.471123068	1.758327653	3.396477815	3.156967453	2.816967274	3.197375178	2.988707196	2.208146373	2.05782741	2.612890338	2.471863431	1.818495553	2.666590011	3.085284251	3.032582012	2.816772019	2.615511002	1.78903358	3.738431242	3.176841017	2.628877851	2.769122066	2.795627464	2.876347072	1.448925626	1.900116735	2.719086378	2.028874678	2.646918993	3.40556617	2.758844003	2.823708759	2.814254469	2.759349662	2.86689046	1.702805619	3.080218183	3.584324123	1.855605995	2.132734946	2.88043475	2.5182255	2.891013653	3.254387362	2.318795465	2.569514692	1.766619162	0.945303182	2.728062139	2.069554524	3.291580299	3.216266006	1.941571867	2.924971066	4.043443571	2.518855092	3.002379948	2.614108229	2.814064822	2.612158668	2.791239952	3.171838428	2.774600838	3.086967378	2.913108174	3.53557739
AR|AR	-0.179472945	-0.602879755	-0.240391315	-0.31426647	-0.651638774	-0.883887555	-0.238233069	0.683633177	-0.535734252	-0.547609237	-0.404974791	-0.003915381	-0.41731753	-0.16469222	-0.818850982	-0.823307838	-0.673328702	-0.311421478	-0.111892159	-0.660738131	-0.363433774	-0.5106049	-0.584682319	-0.861341549	-0.567880475	-0.156128023	-0.550975905	-0.366860773	-0.587658983	0.130553195	-0.515212422	-0.309853656	-0.768524499	-0.208546724	-0.190886126	-0.61127	-0.370094423	-0.434552643	-0.609855848	-0.806200447	-0.258801379	-0.786435085	-0.859809075	-0.997505099	-0.587184865	-0.523694971	-0.417796669	-0.380173656	-0.483181986	-0.226783034	-0.56004913	-0.608567748	-0.263235765	-0.816356366	-0.456546636	-0.488067175	-0.550975905	1.595841736	-0.547889158	-0.123921342	-0.695495154	-0.343020344	-0.738005094	-0.177139772	-0.681271358	0.044081675	-0.349420775	-0.032990347	-0.737709738	-0.485408772	-0.634758345	-0.573801446	-0.353222597	-0.562386194	0.3679199	-0.737315438	-0.555637063	-0.050907596	-0.875024255	-0.510006117	-0.385045134	-0.61177546	-0.635822893	0.011329909	-0.718934722	-0.792511007	-0.421810488	-0.343989664	-0.717371865	-0.653035671	-0.424268668	-0.361069633	-0.481620004	-0.427216693	0.045753572	-0.573055014	-0.514696304	-0.318998089	-0.537808265	-0.838924285	-0.56961817	-0.722155786	-0.140186129	-0.121246309	-0.57004966	-1.986948791	-1.603153553	-1.133352194	-1.623733779	-1.742457646	-1.20168923	-1.431618646	-1.502230955	-0.708451959	-1.053557609	-1.138533942	-1.451449235	-1.289712136	-1.123725358	-0.662721929	-1.913037888	-1.159645698
ASNS|ASNS	-1.21888077	-1.180784143	-1.36587399	-0.642728901	-1.443168607	-0.939187242	-0.994965758	-1.374097016	-1.073510015	-0.77695574	-1.122022326	-1.030373647	-1.902209158	-0.612885333	-0.946052233	-1.15938511	-1.435167862	-0.991777485	-1.196729958	-0.989782079	-1.075851279	-0.883245099	-1.080276333	-0.676937592	-1.221594505	-1.111812599	-1.060844633	-0.420700722	-0.843796622	1.801333283	-0.835490056	-1.20454078	-0.391186477	-1.237760283	-1.001328267	-1.191006744	-0.767206447	-0.88593459	-1.045916365	-1.532977236	-0.894025627	-0.6146395	-1.086865309	-1.124391692	0.07104879	-1.087812927	-1.061137946	-1.119817905	-0.778472174	-0.873712732	-0.967630919	-0.71141353	-1.080830688	-1.04098099	-0.967219207	-0.939758519	-1.326354057	-1.04363695	-0.075289081	0.649457226	-1.38353648	-1.218232577	-1.072466075	-0.796516541	-1.2951017	-1.064177609	-0.894587726	0.084818193	-0.650473676	-1.015557396	-0.336250785	-1.139422062	-1.057927678	-1.005936857	-0.431179389	-0.983611528	-0.304721889	-0.273392306	-0.652042223	-0.962026641	-1.174949948	-0.945741752	-0.75182322	0.658641096	-0.28297609	-0.773056002	-0.805333229	1.240692692	-0.868843084	-0.203250756	-0.907640908	-0.840486158	-0.594524675	-1.189725801	-0.598871597	-0.498121987	-1.069698928	-0.481469472	-1.274239614	0.17775871	-0.829353625	-0.451533513	-0.561609567	-0.807362255	-1.012410039	-0.217180215	-0.90314205	-1.148907087	-0.216608796	-0.655506333	-0.211360442	-1.545416174	-0.928927789	-0.476837221	-0.852349456	-1.16092677	-1.839201951	-0.953207251	-1.020054914	-0.650796768	-1.604662318	-0.34892131
ATM|ATM	0.797881264	1.664866701	1.4690692	2.181954673	1.944149015	2.577273083	1.485040404	2.246637009	1.924137253	3.219729703	1.127698083	1.693100387	1.57436132	2.761227551	2.218128136	4.207626918	1.840388208	1.960353819	1.550674034	2.233157282	2.474460144	2.187077084	1.374771142	1.621436698	2.093093446	2.505551074	2.082330081	1.029577913	1.28214009	2.525532282	3.391121801	1.778570569	0.216251274	1.610562651	2.304357273	0.615846205	1.616764171	1.064256462	2.362181977	1.574794342	-0.330311288	1.790504233	1.441131102	2.319867692	2.467169723	1.822821944	1.67128141	0.7726814	1.362452558	2.752791046	1.810649809	1.32645683	2.383937353	2.281169946	2.279483844	1.080801444	1.643441352	0.120501352	2.360300751	2.196739507	2.361001813	1.644375268	2.714188131	1.909421119	1.749133834	2.302752534	1.542399261	0.47706643	1.728238805	2.131023594	2.315915699	1.748228698	1.269166499	2.080212674	1.172720356	2.371157907	2.53093442	1.0767771	1.12863257	2.856191927	1.121619937	1.681290379	2.016869644	1.92746954	2.464321616	2.031262915	2.584487519	2.651918484	1.757277623	2.491269857	1.930394415	1.326422488	2.246770178	2.333520648	0.97932551	1.69836934	1.861865379	1.60802728	2.36098953	2.558512294	2.093876789	2.046691606	0.977778478	0.735952857	2.45790478	1.658441049	2.345103965	1.464313309	1.312228866	1.113333502	1.377260537	2.27466386	1.380030958	1.303184392	1.410502346	1.206657703	1.551013631	1.433107824	1.734974583	2.718364137	1.565525339	1.354779713
